Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Brassica_napus_(rape)	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Brevibacterium;ESC-str.590	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Clostridioides_difficile	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Corynebacterium_diphtheriae	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Coturnix_japonica_(Japanese_quail)	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Enterobacter;IF2SW-B1	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Lactobacillus_pentosus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Listeria_monocytogenes	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Planomicrobium_okeanokoites	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Pseudomonas;TB23	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Salmonella_enterica	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Spirochaeta;	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Streptococcus_pneumoniae	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Streptococcus;ChDC_B377	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Streptomyces_brasiliensis	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Streptomyces_canus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Desemzia;Mycobacterium_abscessus_subsp._abscessus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Desemzia
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Desemzia;Staphylococcus_aureus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Desemzia
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Enterobacter_cloacae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Acinetobacter;25977_7	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Lactococcus_lactis;lactis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Leuconostoc_mesenteroides	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Listeria_grayi	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Listeria_innocua	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Sphaeropthalma_orestes	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Streptomyces_cinnamoneus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Apis_florea_(little_honeybee)	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Blaberus_atropos	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Chlamydia_trachomatis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Drosophila_kikkawai	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Enterococcus_durans	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Enterococcus_faecium	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Megalopta_genalis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;Staphylococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Coregonus_clupeaformis_(lake_whitefish)	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Trichuris_trichiura_(human_whipworm)	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group;Blattella_germanica_(German_cockroach)	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus;Chlamydia_trachomatis	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus;Peptoniphilus_asaccharolyticus	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Peptoniphilus;Anaerococcus_prevotii	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Peptoniphilus
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Tissierella;Varibaculum_timonense	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Tissierella
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;Anaerovorax;Ephemera_danica	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;Anaerovorax
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerosporobacter;Blattella_germanica_(German_cockroach)	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerosporobacter
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;Blattella_germanica_(German_cockroach)	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Coptotermes_gestroi	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Blattella_germanica_(German_cockroach)	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella_3;Blattella_germanica_(German_cockroach)	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella_3
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;Gadus_morhua_(Atlantic_cod)	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured;Coptotermes_gestroi	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus_Soleaferrea;Coptotermes_gestroi	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus_Soleaferrea
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Trichuris_trichiura_(human_whipworm)	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium;Blattella_germanica_(German_cockroach)	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium;Gadus_morhua_(Atlantic_cod)	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-002;Trichuris_trichiura_(human_whipworm)	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-002
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenisphaera;Chlamydia_trachomatis	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenisphaera
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;Bacteroides_xylanisolvens	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;Lactobacillus_sp._AB032	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium;Oryzias_latipes_(Japanese_medaka)	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;[Clostridium]_rectum	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Filifactor_alocis	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;Gambierdiscus_polynesiensis	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;Nannochloropsis_gaditana	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02
Bacteria;Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;Zavarzinella;Cymbella_subturgidula	Bacteria;Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;Zavarzinella
Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Rhodopirellula;Tigriopus_californicus	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Rhodopirellula
Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Termite_planctomycete_cluster;Mastotermes_darwiniensis_(giant_northern_termite)	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Termite_planctomycete_cluster
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Drosophila_serrata	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Drosophila_simulans	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Commensalibacter;Apis_mellifera_(honey_bee)	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Commensalibacter
Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae;Azospirillum;Corchorus_olitorius	Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae;Azospirillum
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Arthrobacter_sp._PG5-MRL	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Burkholderia_sp._HOT13	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Dactylopius_coccus	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Nannochloropsis_oceanica	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;uncultured;Cladosiphon_okamuranus	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;
Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;uncultured;Saccharina_japonica	Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;;
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga;Deinococcus_sp._4A6	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga;Deinococcus_sp._4B4	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga;Deinococcus_sp._5A4	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga;Deinococcus_sp._UAC-61	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Microvirga
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;Danio_rerio_(zebrafish)	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Candidatus_Hodgkinia;Okanagana_villosa	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Candidatus_Hodgkinia
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum;Flavobacterium_sp._SL122	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum;Klebsiella_sp._enrichment_culture_clone_9.2.1.1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium;Acytostelium_leptosomum	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium;Dictyostelium_deminutivum	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium;Paenibacillus_sophorae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;Labrenzia;Cladosiphon_okamuranus	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;Labrenzia
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;Pannonibacter;Achromobacter_sp._HT18	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;Pannonibacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;Branchiostoma_floridae_(Florida_lancelet)	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanobacterium;Alphaproteobacteria_sp._MG35	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanobacterium
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Acanthamoeba_polyphaga	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Amia_calva_(bowfin)	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Reticulomyxa_filosa	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;Saccharina_japonica	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodovibrionales;Kiloniellaceae;Tistlia;Brucella_sp._HJ114	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodovibrionales;Kiloniellaceae;Tistlia
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodovibrionales;Kiloniellaceae;Tistlia;Nitratireductor_sp._H19-05	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodovibrionales;Kiloniellaceae;Tistlia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Armadillidium_vulgare_(common_pillbug)	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Calligrapha_confluens	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Coptotermes_gestroi	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Dactylopius_coccus	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Embioptera_sp._UVienna-2012	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Formica_fusca	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Gerris_buenoi	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Homalodisca_vitripennis_(glassy-winged_sharpshooter)	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Mengenilla_moldrzyki	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Monomorium_pharaonis_(pharaoh_ant)	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Proasellus_ibericus	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Pseudomasaris_vespoides	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Zorotypus_caudelli	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Midichloriaceae;Candidatus_Jidaibacter;Reticulomyxa_filosa	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Midichloriaceae;Candidatus_Jidaibacter
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Midichloriaceae;Candidatus_Lariskella;Ixodes_persulcatus_(taiga_tick)	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Midichloriaceae;Candidatus_Lariskella
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Wolbachia_pipienti	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia
Bacteria;Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Taonella;Kaistia_sp._enrichment_culture_clone_35Fe70	Bacteria;Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Taonella
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;DSSF69;Punica_granatum_(pomegranate)	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;DSSF69
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Corchorus_olitorius	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Enterobacter_ludwigii	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Brassica_rapa_subsp._pekinensis_(Chinese_cabbage)	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Castanea_mollissima_(Chinese_chestnut)	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Oryza_sativa_Indica_Group_(long-grained_rice)	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Peromyscus_californicus_(California_mouse)	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Solanum_lycopersicum_(tomato)	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Pseudomonas_sp._DMSP-1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;Ephemera_danica	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Blattella_germanica_(German_cockroach)	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Ephemera_danica	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;Oligoflexus;Thymallus_thymallus_(grayling)	Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;Oligoflexus
